model_id,location,origin_date,horizon,target_end_date,target,output_type,output_type_id,value
nfidd-diff,HHS Region 2,2016-03-12,1,2016-03-19,ili perc,quantile,0.95,1.8488756419419916
nfidd-diff,HHS Region 2,2016-03-12,1,2016-03-19,ili perc,quantile,0.975,2.037702150097708
nfidd-diff,HHS Region 2,2016-03-12,1,2016-03-19,ili perc,quantile,0.99,2.2237545856164616
nfidd-diff,HHS Region 2,2016-03-12,2,2016-03-26,ili perc,quantile,0.01,0.33895407652060694
nfidd-diff,HHS Region 2,2016-03-12,2,2016-03-26,ili perc,quantile,0.025,0.44341625080877545
nfidd-diff,HHS Region 2,2016-03-12,2,2016-03-26,ili perc,quantile,0.05,0.5175729826276756
nfidd-diff,HHS Region 2,2016-03-12,2,2016-03-26,ili perc,quantile,0.1,0.5992296281003322
nfidd-diff,HHS Region 2,2016-03-12,2,2016-03-26,ili perc,quantile,0.15,0.6983454035881291
nfidd-diff,HHS Region 2,2016-03-12,2,2016-03-26,ili perc,quantile,0.2,0.7115308489398477
nfidd-diff,HHS Region 2,2016-03-12,2,2016-03-26,ili perc,quantile,0.25,0.7734686941119346
nfidd-diff,HHS Region 2,2016-03-12,2,2016-03-26,ili perc,quantile,0.3,0.8036930493808161
nfidd-diff,HHS Region 2,2016-03-12,2,2016-03-26,ili perc,quantile,0.35,0.8429102300983753
nfidd-diff,HHS Region 2,2016-03-12,2,2016-03-26,ili perc,quantile,0.4,0.8938480858331671
nfidd-diff,HHS Region 2,2016-03-12,2,2016-03-26,ili perc,quantile,0.45,0.9168181999117613
nfidd-diff,HHS Region 2,2016-03-12,2,2016-03-26,ili perc,quantile,0.5,0.9630211373478694
nfidd-diff,HHS Region 2,2016-03-12,2,2016-03-26,ili perc,quantile,0.55,1.0012524971624526
nfidd-diff,HHS Region 2,2016-03-12,2,2016-03-26,ili perc,quantile,0.6,1.0334380860604901
nfidd-diff,HHS Region 2,2016-03-12,2,2016-03-26,ili perc,quantile,0.65,1.0856016070681611
nfidd-diff,HHS Region 2,2016-03-12,2,2016-03-26,ili perc,quantile,0.7,1.1563465667424255
nfidd-diff,HHS Region 2,2016-03-12,2,2016-03-26,ili perc,quantile,0.75,1.3076164622677275
nfidd-diff,HHS Region 2,2016-03-12,2,2016-03-26,ili perc,quantile,0.8,1.4142541430038786
nfidd-diff,HHS Region 2,2016-03-12,2,2016-03-26,ili perc,quantile,0.85,1.4864093895952535
nfidd-diff,HHS Region 2,2016-03-12,2,2016-03-26,ili perc,quantile,0.9,1.6910905233469775
nfidd-diff,HHS Region 2,2016-03-12,2,2016-03-26,ili perc,quantile,0.95,1.8488756420031882
nfidd-diff,HHS Region 2,2016-03-12,2,2016-03-26,ili perc,quantile,0.975,2.037702150201281
nfidd-diff,HHS Region 2,2016-03-12,2,2016-03-26,ili perc,quantile,0.99,2.2237545854938983
nfidd-diff,HHS Region 2,2016-03-12,3,2016-04-02,ili perc,quantile,0.01,0.338954076518328
nfidd-diff,HHS Region 2,2016-03-12,3,2016-04-02,ili perc,quantile,0.025,0.44341625083826874
nfidd-diff,HHS Region 2,2016-03-12,3,2016-04-02,ili perc,quantile,0.05,0.5175729826630333
